common_name,year
Antelope (sable),1989
Canadian tiger swallowtail butterfly,2010
Rabbit (eastern cottontail),1969
Bushpig,2003
Pale white-eye,2007
Booby (blue-faced),1965
Tarantula,2011
Caribou,2005
Roadrunner (greater),1995
Hippopotamus,1998
Columbian rainbow boa,1996
Grenadier (purple),2007
Toucan (red-billed),2009
Guanaco,1999
Red-tailed cockatoo,2010
Heron (giant),2001
Four-striped grass mouse,2005
Butterfly (unidentified),2009
Mississippi alligator,1994
Desert tortoise,2011
Cormorant (flightless),2000
Bushbuck,2011
Puma,2003
Southern lapwing,1999
Galapagos tortoise,2010
Northern fur seal,2009
King vulture,1994
Lemur (sportive),1999
Langur (hanuman),2008
Wolf (common),1965
Red-billed buffalo weaver,2007
Peccary (white-lipped),1999
Red brocket,1994
Hanuman langur,1992
Porcupine (african),2011
Common dolphin,2011
Madagascar hawk owl,2006
Fat-tailed dunnart,2012
Swallow-tail gull,1990
Southern right whale,1991
Blue duck,1994
Goldeneye (barrows),2011
Moorhen (purple),2007
Openbill (asian),2011
Dabchick,1986
Dama wallaby,2010
Black spider monkey,2012
Flicker (campo),2003
Richardson's ground squirrel,2012
Red phalarope,2001
Rufous tree pie,1995
Weaver (red-billed buffalo),2006
Jackal (silver-backed),2000
Galapagos mockingbird,2003
Rhinoceros (square-lipped),2010
Bahama pintail,1974
Western pygmy possum,2011
Caiman (spectacled),1999
Glossy starling (unidentified),1994
Squirrel (grey-footed),2003
Anaconda (unidentified),1992
Stone sheep,1988
Booby (blue-footed),2001
Nilgai,1992
Kudu (greater),1997
Gull (kelp),1992
Cereopsis goose,2004
Rhea (greater),2006
Deer (spotted),2001
Boat-billed heron,2008
Partridge (coqui),2001
Giant otter,2011
Heron (gray),1992
Scarlet macaw,1997
Northern fur seal,1997
Indian red admiral,1976
Tsessebe,2008
Steenbok,2003
Openbill stork,2002
Carmine bee-eater,1995
Egyptian cobra,2012
Bear (polar),2003
Python (unidentified),2004
Desert kangaroo rat,2008
Bear (grizzly),1993
Deer (black-tailed),2001
Owl (madagascar hawk),2004
Vulture (egyptian),2009
Ringtail (common),2004
Striated heron,2008
Squirrel (grey-footed),1999
White stork,1999
Dromedary camel,2008
Black bear,2009
Genet (common),2002
Pronghorn,2010
Common brushtail possum,2009
Wallaby (whip-tailed),1996
Dingo,1995
Common wallaroo,1996
Lily trotter,1991
Little brown bat,1988
Turtle (eastern box),2011
Striped hyena,1993
Meerkat,1997
Beaver (eurasian),1998
Dassie,1967
Kingfisher (pied),2010
Gecko (tokay),1995
Thrasher (curve-billed),2005
Red lava crab,2009
Galapagos sea lion,2006
Openbill (asian),2002
Cape wild cat,1994
Kongoni,2004
Red-tailed wambenger,2012
Monkey (red howler),2009
Wambenger (red-tailed),2001
Stork (greater adjutant),1994
Koala,2009
Thrasher (curve-billed),1992
Greater adjutant stork,2001
Gull (herring),1985
American woodcock,2009
Gambel's quail,2004
Greater adjutant stork,2012
Eagle (bateleur),1990
Snake (tiger),2008
Indian giant squirrel,1993
Gulls (unidentified),2011
Pine snake (unidentified),2001
Great white pelican,1994
Pale-throated three-toed sloth,2009
Common eland,1985
Lemming (collared),2009
Langur (hanuman),1995
American marten,2004
Marshbird (brown and yellow),1992
Savanna fox,1999
Long-crested hawk eagle,2011
Moccasin (water),2002
Wood pigeon,2012
Macaw (scarlet),2011
Iguana (common green),2006
Roan antelope,1993
Seal (southern elephant),2004
American bison,2013
Goose (andean),1993
Red squirrel,2007
Tortoise (asian foreset),1965
Flying fox (unidentified),1999
Northern elephant seal,2001
Common pheasant,2011
Black-necked stork,2009
Yellow-throated sandgrouse,1993
Little blue penguin,2010
Barbet (crested),2012
Pelican (great white),2007
Red lava crab,2004
Weaver (red-billed buffalo),1987
Blue and yellow macaw,2005
Lesser mouse lemur,2010
Tern (royal),2002
Francolin (swainson's),1995
Genet (common),1993
Gerbil (unidentified),2001
Swan (black),1992
White-winged black tern,2008
Egret (snowy),1996
Tortoise (desert),2005
Dragonfly (russian),2012
Roseate cockatoo,2001
Cottonmouth,1997
Crowned hawk-eagle,2011
Black-faced kangaroo,1987
Barbet (levaillant's),2006
Miner's cat,2008
Yak,2003
Macaw (red and blue),2004
Red-capped cardinal,2000
Arctic ground squirrel,2010
Bee-eater (carmine),2006
Reedbuck (bohor),2001
Defassa waterbuck,2005
Bush dog,2011
Partridge (coqui),2003
Wallaby (whip-tailed),2008
Hartebeest (coke's),1993
Long-finned pilot whale,1967
Deer (roe),1987
Bandicoot (southern brown),2008
Indian giant squirrel,2004
Dove (ring),1997
Beaver (european),1984
Chimpanzee,2007
Heron (yellow-crowned night),1998
Kookaburra (laughing),2010
Glider (sugar),1997
White-rumped vulture,1999
Lizard (blue-tongued),2011
Green-backed heron,2004
Penguin (little blue),2010
Steenbok,2005
Curve-billed thrasher,1995
Dove (mourning collared),2005
Nelson ground squirrel,2004
Puma,1990
Squirrel (richardson's ground),2002
Crocodile (nile),1997
Dama wallaby,2004
Pied kingfisher,2005
Ocelot,1987
Arctic ground squirrel,2006
Cardinal (black-throated),1992
Plains zebra,2011
Pied crow,2006
African clawless otter,2007
Yellow-throated sandgrouse,2001
Black-crowned crane,2004
Gray duiker,2006
Brocket (red),2004
Komodo dragon,1993
Francolin (swainson's),2005
Northern fur seal,1984
Jaeger (long-tailed),2005
Eleven-banded armadillo (unidentified),1999
Chickadee (black-capped),2011
Margay,2002
Snake (western patch-nosed),1989
Blue duck,1993
Wild turkey,2013
Western pygmy possum,2013
Bear (sloth),2008
Lemur (ring-tailed),1992
Otter (african clawless),2005
Tammar wallaby,1987
Kingfisher (white-throated),2000
Pie (rufous tree),2000
Tsessebe,2008
Antelope (roan),1997
Cottonmouth,1999
Hornbill (leadbeateri's ground),2004
Great skua,2006
Eastern quoll,1998
Greater adjutant stork,2000
Baboon (gelada),2011
Fairy penguin,2008
Rattlesnake (eastern diamondback),1995
Macaque (pig-tailed),2007
Bee-eater (nubian),1997
Emu,1994
Raven (cape),1992
Red kangaroo,1995
Screamer (southern),1999
White-cheeked pintail,2006
Ringtail,1992
Colobus (black and white),2003
Lemur (brown),1990
Thirteen-lined squirrel,1976
Badger (eurasian),2008
Stork (greater adjutant),2007
Badger (eurasian),2011
Nilgai,2002
Northern fur seal,1999
Giant girdled lizard,2006
Southern tamandua,2007
Greater adjutant stork,1986
Heron (giant),2007
Oriental short-clawed otter,1994
Komodo dragon,1985
Marten (american),1992
Eagle (african fish),1999
Bush dog,1998
Common green iguana,1998
Ibis (sacred),1993
Southern lapwing,2008
Western palm tanager (unidentified),2005
Butterfly (canadian tiger swallowtail),2012
Red phalarope,1991
Mallard,2013
Slender loris,1997
Bahama pintail,2003
Masked booby,2004
Red-shouldered glossy starling,2002
Sheep (red),2012
Mongoose (banded),1988
Elephant (african),1990
Robin (white-throated),2009
Southern screamer,2006
Vicuna,2002
Painted stork,1993
Leopard (indian),2004
Hornbill (red-billed),1995
Vulture (lappet-faced),2008
Genet (small-spotted),1990
Little heron,2003
Racer (blue),2003
Bear (black),2012
Lapwing (unidentified),2012
Salmon pink bird eater tarantula,1986
Possum (common brushtail),1995
Woodcock (american),2002
Brush-tailed bettong,1966
Otter (giant),1995
Common ringtail,1995
Burrowing owl,1992
Purple moorhen,2000
Kangaroo (brush-tailed rat),1999
Tern (white-winged black),2001
Curlew (black),1988
Land iguana,2008
Cape cobra,1994
Bird (red-billed tropic),2009
Old world fruit bat (unidentified),2005
Openbill stork,1998
Dog (black-tailed prairie),1962
Red-tailed cockatoo,1998
Mexican boa,2006
African lynx,2004
Ibis (sacred),1995
Grebe (little),2009
Stork (european),2010
Macaque (japanese),1996
Dark-winged trumpeter,1994
Wapiti (elk),2006
Red squirrel,1988
House sparrow,2000
Rattlesnake (dusky),1984
Madagascar hawk owl,1995
Lesser double-collared sunbird,1996
Red-tailed phascogale,2010
Chameleon (unidentified),1993
Cockatoo (sulfur-crested),2005
Indian porcupine,2004
Darwin ground finch (unidentified),1995
Boa (columbian rainbow),2011
Black and white colobus,2008
Chipmunk (least),1995
Eurasian badger,2003
Common waterbuck,2007
Ringtail,1995
White-nosed coatimundi,2003
Carpet snake,2011
Jabiru stork,2005
Defassa waterbuck,2009
Black-throated cardinal,1996
Pie (indian tree),1988
Frilled dragon,2009
Tenrec (tailless),1986
Radiated tortoise,2006
Cape starling,2009
American badger,1990
Long-necked turtle,2005
Grey phalarope,2008
Downy woodpecker,1988
Godwit (hudsonian),1995
Mexican wolf,1993
Wolf spider,1987
Black-capped capuchin,1999
Springhare,1999
Bear (american black),1993
Common wombat,1992
Grizzly bear,2000
Stick insect,1992
Black-fronted bulbul,1993
Tinamou (elegant crested),2004
Seal (common),1999
Worm snake (unidentified),2007
Snake-necked turtle,1989
Tarantula (salmon pink bird eater),1992
Bee-eater (white-fronted),1997
Phalarope (grey),2003
Nutcracker (clark's),2001
Deer (swamp),2008
Civet (small-toothed palm),2007
Slender loris,1995
Coot (red-knobbed),1993
Common brushtail possum,2001
Lark (horned),1998
Steller's sea lion,2007
Bleu (blue-breasted cordon),2009
Knob-nosed goose,2004
Elegant crested tinamou,1984
Frilled lizard,1999
Sunbird (lesser double-collared),2007
Raccoon (crab-eating),2005
Swan (black),1995
Capuchin (brown),2011
Common boubou shrike,2012
Ringtail (common),1974
Orca,2005
Malay squirrel (unidentified),1993
Fox (savanna),1985
African snake (unidentified),2002
Buttermilk snake,1994
Screamer (crested),2009
Crab (red lava),1990
Mexican beaded lizard,1962
South American sea lion,2008
Blackish oystercatcher,1983
Nuthatch (red-breasted),1993
Coke's hartebeest,1990
Eurasian badger,1989
American alligator,2005
Cuis,2010
Giant armadillo,1992
Heron (giant),1995
Gull (silver),1997
Mountain goat,1995
Capuchin (white-fronted),1993
Dassie,2009
Pallas's fish eagle,1993
Tarantula (salmon pink bird eater),1999
Rattlesnake (dusky),2004
Barbet (levaillant's),2008
Puffin (horned),1996
Black swan,1985
Griffon vulture,1987
